reviewerID,asin,overall
A2VOJM2ET6P7OG,B002EL4RLQ,4
A1933VQS8E23J5,B0002KVUKM,2
AS9HHAQWUHVJC,B008M0UTRO,5
A1VCLTAGM5RLND,B0009HBPHQ,5
A2MBWZ5YY83K62,B00466H37M,4
A3IP0R4JOD4R5G,B00009PY4I,5
A3UZTGLWYPRWKY,B0000640VO,5
A20V6U5Z58AGZE,B00742SXOM,5
A14TTMRNMNPEV7,6304490399,5
ANE9GJ3PLKIQG,0790738074,4
A2A7BTODKH1DCV,B00154GEGE,5
A3BEF4IHWI0VC,B000KOXS0A,5
A10ODC971MDHV8,6305761183,5
A2MITD3KZ1BIQP,6304233639,1
A3SNSQ8ILONGJ0,B002JVWR7M,5
A22RY8N8CNDF3A,0783226853,5
A10D49B7HNA0KE,B0072GPPNC,5
A2RX1WIH9OFC76,B001F9FHAS,5
A2D0WJIH7MMQIN,B000LV6VZ6,5
ABQ9YB6BJ7ITE,B005A5IAC0,4
A1GSR7RGCG1QYZ,B00005B20D,1
A2ZZHMT58ZMVCZ,B004UXUX4Q,5
AGSWTH7SP2256,B0010DR4BO,5
A3ELV1DL84G43K,B000059LGG,5
ABYY738TBI2R2,6303257429,4
ABSX5TGEGRH76,B00005JNJV,5
A12BJR3UTMV33X,B002ZG980U,4
A2WULVTQJ0AK1,B003L77G10,5
A1JZTUTR2DCPU0,B001ULDK8W,5
A1QNYLBG73QRNF,B002T4GXUG,5
AAXV3IYP2SN5O,B0047HXN60,5
A3JNY2MSXKTXZW,B00FZM8Z7I,4
A11XKY4EIU2KNR,B00005JLH2,1
AGM5AHAOJF6EQ,B00AY9V3A8,5
A3L4TL3JBGWR9C,B001GCUNZI,4
A1SLYHT5EQTJGO,B008UE8ICK,4
A1WOFFWF8UYPJ2,0792838300,1
ATQ22E6YAUNXP,6300151379,5
A22UUMM5XE2KRR,B000CQLZ88,1
A33BNMY2NJJDDH,B00F9D00SU,5
A1UHZS92LYNXAK,B0060ZJ74O,1
A2GANR9I6XHTU9,1564426785,2
AV1KYJXHOWPMD,B00005JNJV,5
A77184QJM3PM,6302413435,5
A2WVSMD1LNZS8R,B000FFL702,5
A1J0IRJT5ARLWR,0783241542,4
A1B80M8VJ8YO9L,B003WE9C5U,5
A3VI2VETB90ZG5,B00A27OMKU,4
ABAQ9SKKJ8Y67,B000V6LSZE,5
A2PYTGL458RLSV,B000F9T70A,5
A2KWQ64TRHB3YH,0783228465,4
AQ01Q3070LT29,B00A2H9WW8,3
A1ZM13XILQWHJU,B0000DZSYC,5
A3QCRNZS5G6EL,B001AQO43M,5
A2S59UCZM6XUAE,B0002B15RE,3
A1DAOL3NMHEPLS,B0000AKCKI,3
A247Y7KAJ69ADA,0784017875,3
A109V7W2G9EI4T,B000ARFPMQ,4
A250J48B3DOVWC,B000TAN904,5
A17MJHGXOTPACI,6302224462,5
A2GLKDX7XUB5E0,B000MTFFTK,5
A24RH71PKAVU1X,B001B73PQC,1
A7S389T88I0HC,B000YABYLA,4
A1JKFUUCZRA3Z4,B0041KKYDI,4
A2W0KXDW71PP7Z,B000AJJNIG,5
AFQ5Q0MVST4GF,B001GKJ2DE,5
AR4F820R46I1S,6304612796,4
A1YPRRQDYGI97S,B008JFUPFI,3
A2TMJYY4ARPEGW,B000BVM1S2,5
A2AAQF7IPCS9AK,B00DJYJWVW,5
AHABFECTNE15I,0792839676,3
A281NPSIMI1C2R,B00006HAWE,5
A1ZTETM5HDN6ZN,B008SOS7MS,4
A2NUHWMHA9XNKV,B002ZG999U,3
A1M7N5V6W0Z0H7,B0001WTWXI,5
AD9AB378M8ADD,B00003CXO0,5
A2YM3KILJ1G0YJ,B002VPE1AW,5
A2HTDZV3IC3WDD,B001WG761C,5
A398KFL94ZQ8YN,B0006D3HE2,5
A2BDZAU0Y4J6NB,B005ELEMV8,5
A1OX82JPAQLL60,B0000694X7,4
A1EKA9XSI641C9,B00007AJG3,3
A26A8T38C2GQD7,B00023GGAI,3
ABJ6O2TO8G2QF,630382336X,5
A1CCW4DLR2BPWA,B0009SCV7S,4
A3AZJ9735GM4CS,B008MILYYI,4
A1UJ0DPJ1R89WQ,6302534372,5
A1COW0UIB5HA9J,B000B8QG3G,5
A29822J84JAZLN,6305265488,5
A3UH4ZG15VRDSJ,B00006AL1D,5
A24K6KR7RHW7XB,B001FOPOD8,2
ALOYRM215JP45,B0029Y5RA8,5
ANGH6401L9Y0T,0800141385,3
AGXQ7ZRXZYZ0M,B00CD45JCU,5
AJETITRICPHQI,B0024396EW,5
A28UFJF5K9DESN,B00111YM5Q,3
A2NBOL825B93OM,B00008DDVU,5
A2VPYAC1LC492E,B002FP9QBC,5
A31CWVNVR0IL9A,6304609434,4
A1XGV3Z001NDSU,0783228457,5
A3ECM3FZCLIH8K,0792842111,4
A2RH0PDK6UQIXH,B0000640VJ,1
A3UDYY6L2NH3JS,1566053676,4
A7Y6AVS576M03,6301670159,5
A30LIOCPN2STES,B008Y1YJ90,5
A3I26NK6LZ2KR1,B000KGH03E,4
A3TZ3OYFRRCQBZ,B0053O89YM,5
A1J34AOS1J8EAB,B000AQ68Z0,5
A1P2NBM3P3TS2X,B00002E233,3
A1XQ9K62U9GN90,B000P5FH2Q,1
A3GI6DS6I474K8,B000CQLZ0Q,4
A38LMY3TV868YH,6301562941,4
AW0LRBU1BR54A,B0067YF04Y,5
A1MJMYLRTZ76ZX,630150528X,5
A3UZJJ86N23JOZ,B00024JC3U,4
A2UKEK8EH2WTRM,B00005JPS8,5
A2ATSKAPT0QAPH,1572520922,3
A3RTX14EN8OO4C,B00CYQXATG,5
A3IFPFKOJWSPZC,0788815474,5
A3EFCK0HZQPNQI,B005N4DMMG,5
AUHZ4NEDBKM1X,6301589068,5
A14UEQJ2YA07HA,B0007UQ264,5
A3CY6819GDT75H,6303631991,5
AWZR0O65DL2Q,0783241038,5
A23YN4TXK5BCSF,B0000DZSYC,4
A1MMFZFJ2P0BNL,0792164962,4
A2AEPEF68RBJO,B00BVMXBDO,3
A25MKVVHG6LL52,B002NS5HOQ,5
A2EOFDLMK6XR9M,B0051CSI0G,5
ATC0YA14O5E99,B000SBAVGY,5
A3OCO2VYXPPJ9W,6302961572,5
AQWYEQNSLKBWO,6303128904,4
AFYU5LXHZO5M3,B00003CXPS,4
A2DONFXNT3O9JQ,B00005JM3G,5
A2MG8DHACXH5MS,1417024917,4
A17BUUBOU0598B,B00009MEJ6,3
AU0FHYE1IT05S,B000Q6774K,4
A2E1EFNIZL2FVA,6304798466,5
A1XT8AJB7S9JJG,B007C4ZJ0S,3
AFJFXN42RZ3G2,B00080Z53O,5
A16IB3AQZQKKK0,6301522893,5
A24H35U47VPA9P,0792844882,4
A15RAWO81UCYGI,B001KEGRBQ,4
A3UPYGJKZ0XTU4,B0006HBJJ8,5
A1XMC1TYC0RKZH,B0000CBHOI,5
A1L4T6QPUSG1NC,B005HVWVJK,5
A1NTXJPTFP1G03,079074774X,5
A6LDQS1FFAQPS,B0059XTUVI,4
A1FTOX0CKR4DW7,079284632X,3
A47OISX4AV8I,B00064LJVE,5
A1PC5Z0VWHAJ41,B0014VPFM2,5
A17JXEP661531I,B0018TLRVS,5
A1LFAEFTH23RFC,B000ZOXDFA,1
A15M6R0RO0KXX8,B0090JB6DC,1
AER15RIMV8E6D,B000MEYK9Q,1
AD566OQG88ORV,B005LAII12,5
ALWB64XOXNMDP,B000BOH8Z0,5
A3ARW2A5ZMUPFW,B00DJYJWVW,4
AI93LF8UZEBNX,B004DMIIPA,5
AW85VDASDM8VU,B0064NTZJO,5
A4UKBG3M5U5TI,6300181308,4
A33PNAQ33DGBJG,B000VQQJ8U,2
A2BSG2PZCN2QUM,6301798074,5
AJYILFULOQ3CX,B00004TJJQ,4
A3UDPNRN50Q56Z,B003Q6D246,3
A2O5WZXN0WGW50,B000HDR814,5
ADSCVPRCMTDY6,B000OCY7TY,3
A14408FZNHTXFX,6305123616,5
A4X7NFDO3I1TA,6301666569,5
A112P3EOZH8UVD,B004QOB8SO,5
A2HEIBL1BYNOX5,B001F0TM2Q,5
AHFCEBUI4HVA2,B003T8FLTK,5
A3F3B1JPACN215,B00ALX3QBQ,4
A33EN2ZL2MS0CI,B0033HKE08,3
A22VNXHU6IZ5MT,B000VIPXNK,5
AUUTZCLQCVDK3,B000Q6GUT8,4
A2JHD25TB2EYBB,B004RA7YGC,5
A1R9U3LJ9K208I,0783221487,4
AG144VT9PB6GH,B000AXWHK8,4
AF3X7J0XC391L,6303686745,5
A2NO8UXRG5CKVS,B003UESJF6,4
A2WLRCTDND19TR,B0007YMVWO,4
A14VWKNU0RI66T,B005LAII44,3
A2UBSGFCP2QFNV,B00E44EZHC,5
A2LGWPNE6N1QNT,B000062XDX,1
A3A37VAWST2XUE,B00D3LA6M0,5
A3H8V1BXTEXWZY,B000K7VHNW,4
AK0GK2UIIPI38,B000FZETJS,5
A3SH8MPM0S99HK,B000EXDS7K,5
A2MC92RFN9RJQI,B000063V8R,5
A36CHPMHHD1IO5,6304494378,3
A2V29IO9JQQF5P,6300214176,5
A3OQ1OATK5FQ04,B001EX9YHM,2
ANAYSRE3LX8GZ,6304202725,4
A25DJ2Q9GZSNPX,B00005JKCH,4
A1AFXJ8U72MD6L,6300182282,5
A1VI3PA7W0MM9O,B00005JPGO,5
A2E1O00GFTI21J,B00AN874EO,1
A1DPXBW8DCGDAH,B0000TLBUE,5
AE2KCASMQPMO,0790705141,5
A1AV0IS7TIZJ57,B00009RXKY,5
A3A34OPL3KI1WF,B000YGGNR4,5
A2I2DE1DJUVQOO,B00005JPA6,2
AWR9QW4XEN6KK,B005LAII8K,4
A11XFUC3CIL0GZ,B000A6T2KS,5
A2PR2GKNE90HTP,6301599233,5
ACQLPYBFJM7BL,B0000694WK,3
AYQ8RLE0K6RU8,630320127X,5
A2ORY3VPVKKBCX,B00018YCIM,4
A2Z7S5X3FD4JEG,B000BO0LH2,5
A1N8ST7FQO4S3K,B000055ZKD,4
AAVLB0GGEKRCO,0769403468,5
A1DLTOISSXXHZH,B002ZG97E2,5
A19V0VJMKKRMC8,B0001AW0HU,5
AIWPVV1HQKIX5,B00005JMQW,5
A1W702WG1LC6R3,0783232047,4
A1L7IMLGPF72GG,B00005JPXA,4
A93P1PIYIGZFN,B003EYVXV4,4
A3DVS9Y4Z1HIDJ,B006FYYWQS,5
A3NQU1649SH0Q4,6304056958,5
A126KX6FVI4T66,B0008ENI0W,4
AL9WKVMRI6GFB,B001KVZ6FW,5
A1OKNI3GDEP5EZ,0792842081,5
A3GU3LWQTEGCMP,0788812424,3
AY5ALNAA118ZL,B001PPLIEG,3
A2PH7D5ZVH9593,B00007AJFJ,4
A356RFKNIG043B,B001HB1JY2,4
AL277B4AQCWBG,B00006ADEM,3
A2G4F1QTM00GQX,B000060MVK,5
AI54XO5Z755FH,B00005YUNK,5
A3LZGLA88K0LA0,6305364206,3
APNTA0OD249AT,B005LAIH4A,2
A37B3O457INKEA,6301797957,5
A1DZCUOPG0PUKF,0784011540,5
AQV86RF0W4W3U,B002VECM6S,5
A2MZ1VBYTQ7MO5,B000255LJ8,5
A2N5YX7DLGPG3K,1424819547,5
A29COAL60SB48B,B00003CXPV,5
A1TK6R2JSC97HL,630196604X,3
A1I6WNDJ4Z1IY6,B002VECM6S,5
A3TCZ0WZCT8II2,B000BF0C8E,5
A3OXU6V4859RQF,B0034G4P4O,4
AUV0BR1PZ7F42,B00003CY6C,5
A3OBKS5X010W7R,B005LAII58,3
A10G4BPT5MGBHY,B000P6R9IA,3
A2EOFYRFB292KS,6301640799,5
A5RXGRL4UKHDQ,6303921248,5
A2TFYSF3OBW380,B000ZOXDFA,5
A1EPTOYTJ1K2ZM,B00005JL78,4
AVW6BHMTC9QS4,6303102859,4
A10XX6L2OZC22K,6301965795,5
A2L3KL43DDWVSQ,B004AV5H3U,5
AJPJZYD1GKU1M,B0049TC88U,5
A8GHS5DJ5G1GI,6303327974,5
A2DRVUMQB5S930,B000051S3Z,5
A1F7W1NMF5OE0W,0790748207,3
A1PHBZAP24H1L9,B000CDGVOE,5
A3GDNC2CPPLPCN,B00HHYF5EI,2
A1A0AAJX62NHD8,6301586026,5
A13STKDYQO5DQ8,0790743507,5
A244CRJ2QSVLZ4,B000068TPF,5
A3J2930UAI9PAQ,B000ZBEOF6,5
A106016KSI0YQ,B00003CYLJ,5
A3N1OF1HMCE1TN,B00CHVIAS4,5
A2MES5C4U5A9J5,6300181405,5
A2FL0EKQ2EQ9E6,B001NPK5BU,5
A2OWR5G2OAQF7C,B0035AO4WC,5
A6M4HFHT728NJ,B000JLTRF4,5
A2EVP0NCXR6IYS,B00DNQM7N6,5
A3G0049QT2KPZP,B00BEEKN26,5
A1KKA1DPSXEH8C,6304546335,5
AK22VJAVDH787,B0001HAGQK,5
ACBI3EFZ3S1K8,6305657939,5
A22P0ZZO39LJFE,B00A2H9L2E,5
A3P1508PZ0UADD,B001UV4XUG,5
A328S9RN3U5M68,B0000AUHQG,5
A3D9S828M9PFQU,6300247031,5
A1X90SEW99DK3G,B0001B50H6,5
A3F8T3BRXRX5P3,B00C7BZY4C,4
A2KB14WCZ1DVE3,0790729377,5
A1CAL5K7CR2O52,B007VXTA1O,5
A2B7BUH8834Y6M,6305811687,5
A208RMSCC568VB,B002VKE0XA,5
A25Q4HLH29R3Y4,B007UQ8IT2,5
A3K02DW6NC78UO,6301221486,5
A2LSRBVD2MK3PL,0790729733,5
A2GPN2VKS8E77C,6304438230,5
A25M7MT8KG4LTG,B00005KA8J,4
A141HP4LYPWMSR,0800113055,5
A3VEOBVB25P7PI,0790729725,5
A3T16RF43SXO91,630130053X,3
A1ZNGCNKCHW11,6300181537,3
A11RJH8JB8HYJH,B00164KYTG,2
AL1WBEKIEPUPE,B0050N0US4,5
A1R8LZYZR3377O,6303236685,5
A1G7N3AN1GDJO6,6303120512,1
AGRR05FH945HR,B0007OCG4W,4
A1TCSU06AAD9HG,078322706X,5
AT1KHRLHWN0DM,B00006SFKM,4
A2JD5VOOCLRJFS,B001B18716,5
A15WKAFW528U6,0792115147,3
A1QRXEM0WSLGT5,B000RNUKPK,4
A2KP62ZRRNHMGC,B005NFJAWG,5
A3FJSHVW02YAK3,B0055E64FQ,3
A3OXW1R2RMDXBX,B005LAIHYU,4
A3P9MJ7903DX2H,B000HWZ4RK,5
AWMNPNH2LXFGX,B00005B1Y2,5
A1I9B4PSCDDWOO,6305480869,4
A2YA86VX2K747A,B000V02CNM,5
A1W00KVU8VU6ZG,B00GMV8LIO,3
A1RJXK6KF3LL5R,6302025230,2
AWAAD7WNUF2W7,B00BVMXBDO,4
A3Q1FVRV0CRYTH,6304286511,5
A1Q5YSUQ2FXQ7O,B00DC5K2J4,5
A2A2QGGPSG2DLJ,B001FRNB62,5
A304MAN2ZT8ELW,0784011206,5
A1Z1NQJUJQ5CRO,B00005JN99,3
AUTBHG6070SL4,B0043KVFX4,3
A1ATALZBR6PCDT,B008220C38,4
AZA20GECHXYGG,B00915G6R6,5
A29ZCVZWIWZBCH,6302043239,4
A1EPYEDKDA3F3S,B000QDLSR0,5
A5QSEBI4U7R2K,B001DLH20G,2
A2WQLPR65RSGJ7,6302168414,5
A2U0ABMZK6XBVF,0800113055,5
A36Q1RC3P3OJHH,0790743507,5
A1KD93LN4BHUT3,B000IONJI8,3
ATR61OIV4NTM9,6301662725,5
A1VO7HA1MQY8SU,B005LAIIMG,4
A3JYG01WAU6U4Q,B004ULEENE,4
A14Y2BFP2PTJP2,B00005NVDE,5
A1JYBKCJSBQMIC,B009D4SFEC,5
A1534MBU6VJXYN,6300248178,5
A16G4AMQQK9299,B000ZBEOGA,3
AA0YZN794HED5,B00004W191,5
A19ZXK9HHVRV1X,0767839129,3
A1OR2RQYRORHCT,B002N5N4M6,5
ATYZTTIYVC1WL,B003L77GGK,5
ANIMV3SPDD8SH,B00005JLV1,4
A25654RSA3UOOJ,0780623134,5
A2DE3UXI0C6RY9,B00006ISA5,5
A16K63CDLZU3EP,B001FB4W0W,4
ABBBSE7HE9HZY,B001132GNY,5
A12V6LLGTKS0QH,6304136277,1
A1J5TC13BSPA2M,B00000JMPH,4
A1278WF1ZT2JUX,6303820905,2
A299IOD48YE5QK,6302413435,5
AIIR8E34EDKCQ,B00005JMJ4,3
A39DJN1GGO97MG,B00287Z19I,5
A1XV95ID4PBQSH,B00006B1HN,5
A260S07WQ0YZ9Y,6305319138,3
A2J1R0N3KF8J2U,6302756472,3
A2ET46ZEPSZI55,6301963717,5
A3NWR0095OBNGM,B001CIOCO4,1
A11WUS9O24PNXB,B0008ENFWI,5
A1E6JS6C205VZD,B00G15MDI0,2
A2VCZ9QE7H5VSM,B00005JMJ4,1
A1LDQF92H8UXIJ,B001PKHS72,5
A2151IYI3M471C,6301558308,4
A9GO28NI5O29S,0783117388,1
A2KX7C5O86E58,B002GSXKQU,5
A1LYAFTZNX2UCI,B001LMSP26,5
A387BD735MI50R,B00006RCUE,5
AYBL30P5NXNZ4,B002NXSRVG,3
A3M6RVUVZOQZLB,B004EPYZO4,4
A1ZI7DPH8V70X2,B009B8YZIK,1
ASLIIYL8H7ILS,B001RTKKRQ,4
A1O5U8J2UCFOD6,6301969871,5
A1J5TC13BSPA2M,B001ATO9HA,2
A2NED2BEI8Y2CY,B000HWZ4HU,5
A16CZRQL23NOIW,B000E33VWW,5
A3G84IEKLF478Z,6302728657,5
A8S8RFMGA3LZ7,B00005JPNY,5
A3AI93BF0WZ6HE,B000AARKO4,5
A2ZYXWTNIG64HE,B005OQNOSA,5
A24OFOIWNQI4DG,B000K7VHOG,4
A1ANYGB222AR2S,B0000AZT2U,2
A36VDUEBXFT9NL,B005S9ELM6,5
ABHR4QW3JAJXC,B0002YCUQ6,1
